"filename", "language", "JavaScript", "Vue", "SCSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"f:\threejs\three3d\.eslintrc.js", "JavaScript", 18, 0, 0, 0, 0, 0, 1, 2, 21
"f:\threejs\three3d\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 6, 25
"f:\threejs\three3d\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\threejs\three3d\package-lock.json", "JSON", 0, 0, 0, 0, 12434, 0, 0, 1, 12435
"f:\threejs\three3d\package.json", "JSON", 0, 0, 0, 0, 40, 0, 0, 1, 41
"f:\threejs\three3d\public\arch.json", "JSON", 0, 0, 0, 0, 179, 0, 0, 23, 202
"f:\threejs\three3d\public\firstVenue.json", "JSON", 0, 0, 0, 0, 434, 0, 0, 7, 441
"f:\threejs\three3d\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 1, 3, 20
"f:\threejs\three3d\public\main.html", "HTML", 0, 0, 0, 0, 0, 241, 2, 48, 291
"f:\threejs\three3d\public\point.json", "JSON", 0, 0, 0, 0, 181, 0, 0, 9, 190
"f:\threejs\three3d\public\secondVenue.json", "JSON", 0, 0, 0, 0, 233, 0, 0, 4, 237
"f:\threejs\three3d\public\thridVenue.json", "JSON", 0, 0, 0, 0, 670, 0, 0, 6, 676
"f:\threejs\three3d\public\venueArea.json", "JSON", 0, 0, 0, 0, 178, 0, 0, 5, 183
"f:\threejs\three3d\src\App.vue", "Vue", 0, 26, 0, 0, 0, 0, 0, 5, 31
"f:\threejs\three3d\src\js\lib\ammo.js", "JavaScript", 640, 0, 0, 0, 0, 0, 4, 10, 654
"f:\threejs\three3d\src\main.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"f:\threejs\three3d\src\plugins\ThreeBSP.js", "JavaScript", 569, 0, 0, 0, 0, 0, 1, 39, 609
"f:\threejs\three3d\src\plugins\VRControl.js", "JavaScript", 82, 0, 0, 0, 0, 0, 46, 17, 145
"f:\threejs\three3d\src\plugins\VRControls.js", "JavaScript", 74, 0, 0, 0, 0, 0, 11, 25, 110
"f:\threejs\three3d\src\plugins\VREffect.js", "JavaScript", 232, 0, 0, 0, 0, 0, 60, 60, 352
"f:\threejs\three3d\src\plugins\axios.js", "JavaScript", 28, 0, 0, 0, 0, 0, 19, 5, 52
"f:\threejs\three3d\src\plugins\button-manager.js", "JavaScript", 103, 0, 0, 0, 0, 0, 25, 16, 144
"f:\threejs\three3d\src\plugins\element.js", "JavaScript", 12, 0, 0, 0, 0, 0, 14, 6, 32
"f:\threejs\three3d\src\plugins\emitter.js", "JavaScript", 22, 0, 0, 0, 0, 0, 16, 5, 43
"f:\threejs\three3d\src\plugins\main.js", "JavaScript", 3, 0, 0, 0, 0, 0, 14, 3, 20
"f:\threejs\three3d\src\plugins\modes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 17, 3, 27
"f:\threejs\three3d\src\plugins\util.js", "JavaScript", 65, 0, 0, 0, 0, 0, 22, 17, 104
"f:\threejs\three3d\src\plugins\webvr-manager.js", "JavaScript", 172, 0, 0, 0, 0, 0, 54, 32, 258
"f:\threejs\three3d\src\plugins\webvr-polyfill.js", "JavaScript", 3606, 0, 0, 0, 0, 0, 2103, 845, 6554
"f:\threejs\three3d\src\router\index.js", "JavaScript", 32, 0, 0, 0, 0, 0, 3, 6, 41
"f:\threejs\three3d\src\scss\index.scss", "SCSS", 0, 0, 208, 0, 0, 0, 8, 41, 257
"f:\threejs\three3d\src\store\index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 1, 3, 24
"f:\threejs\three3d\src\views\Home.vue", "Vue", 0, 640, 0, 0, 0, 0, 163, 60, 863
"f:\threejs\three3d\src\views\Index.vue", "Vue", 0, 75, 0, 0, 0, 0, 0, 8, 83
"f:\threejs\three3d\src\views\museum.vue", "Vue", 0, 1540, 0, 0, 0, 0, 360, 259, 2159
"f:\threejs\three3d\src\views\testVR.vue", "Vue", 0, 313, 0, 0, 0, 0, 60, 43, 416
"f:\threejs\three3d\vue.config.js", "JavaScript", 63, 0, 0, 0, 0, 0, 63, 4, 130
"Total", "-", 5764, 2594, 208, 19, 14349, 257, 3068, 1631, 27890